READ DATE,CONSUMPTION(KWH),SOLD TO GRID(KWH)
27 February 2021,Not available,Not available
28 February 2021,Not available,Not available
01 August 2020,13.58,0.37
02 August 2020,12.39,0.25
03 August 2020,9.79,0.47
04 August 2020,16.77,0.26
05 August 2020,12.66,0.46
06 August 2020,19.31,0.36
07 August 2020,16.75,0.22
08 August 2020,15.25,0.11
09 August 2020,19.79,0.05
10 August 2020,7.93,0.83
11 August 2020,16.71,0.44
12 August 2020,9.73,0.43
13 August 2020,5.15,0.65
14 August 2020,7.4,0.33
15 August 2020,10.19,0.47
16 August 2020,14.01,0.08
17 August 2020,6.72,0.58
18 August 2020,11.75,0.61
19 August 2020,12.57,0.38
20 August 2020,14.39,0.42
21 August 2020,7.32,0.69
22 August 2020,18.05,0.14
23 August 2020,15.48,0.21
24 August 2020,10.29,0.35
25 August 2020,17.29,0.34
26 August 2020,14.62,0.59
27 August 2020,14.17,0.98
28 August 2020,11.75,0.95
29 August 2020,7.53,1.09
30 August 2020,5.96,0.77
31 August 2020,13.21,0.42
01 January 2021,2.25,15.68
02 January 2021,3.18,10.19
03 January 2021,3.77,11.57
04 January 2021,3.42,4.85
05 January 2021,5.15,3.61
06 January 2021,5.34,5.68
07 January 2021,2.83,16.33
08 January 2021,3.11,18.13
09 January 2021,3.81,15.97
10 January 2021,3.37,16.53
11 January 2021,5.13,10.65
12 January 2021,3.26,14.03
13 January 2021,4.76,13.61
14 January 2021,2.17,9.96
15 January 2021,2.26,14.76
16 January 2021,9.23,9.62
17 January 2021,3.39,16.83
18 January 2021,7.16,11.59
19 January 2021,3.3,16.11
20 January 2021,4.16,19.09
21 January 2021,3.02,18.74
22 January 2021,2.5,17.47
23 January 2021,2.5,15.64
24 January 2021,4.55,11.44
25 January 2021,3.4,10.14
26 January 2021,2.18,4.25
27 January 2021,2.41,18.68
28 January 2021,1.64,10.29
29 January 2021,7.04,1.97
30 January 2021,2.73,10.4
31 January 2021,2.35,15.4
01 May 2020,Not available,Not available
02 May 2020,Not available,Not available
03 May 2020,Not available,Not available
04 May 2020,Not available,Not available
05 May 2020,Not available,Not available
06 May 2020,Not available,Not available
07 May 2020,0.29,0.00
08 May 2020,0.34,0.00
09 May 2020,0.41,0.00
10 May 2020,0.52,0.00
11 May 2020,0.35,0.00
12 May 2020,0.35,0.00
13 May 2020,0.35,0.00
14 May 2020,0.49,0.01
15 May 2020,0.25,0.72
16 May 2020,0.34,0.70
17 May 2020,0.30,0.68
18 May 2020,0.22,0.64
19 May 2020,0.23,0.40
20 May 2020,0.23,0.44
21 May 2020,0.28,0.44
22 May 2020,0.23,0.44
23 May 2020,0.42,0.40
24 May 2020,0.27,0.37
25 May 2020,0.23,0.56
26 May 2020,0.30,0.57
27 May 2020,0.32,0.41
28 May 2020,0.33,0.53
29 May 2020,0.23,0.51
30 May 2020,0.40,0.48
31 May 2020,0.33,0.43
01 July 2020,10.09,0.41
02 July 2020,4.24,0.34
03 July 2020,12.06,0.11
04 July 2020,11.9,0.21
05 July 2020,15.27,0.24
06 July 2020,12.97,0.3
07 July 2020,17.14,0.17
08 July 2020,15.98,0.38
09 July 2020,12.08,0.39
10 July 2020,7.55,0.35
11 July 2020,24.3,0.03
12 July 2020,15.59,0.23
13 July 2020,12.87,0.4
14 July 2020,14.51,0.27
15 July 2020,14.02,0.3
16 July 2020,22.67,0.18
17 July 2020,18.42,0.24
18 July 2020,17.82,0.1
19 July 2020,17.11,0.27
20 July 2020,14.65,0.3
21 July 2020,19.93,0.11
22 July 2020,15.51,0.38
23 July 2020,17.69,0.17
24 July 2020,12.23,0.44
25 July 2020,24.76,0.11
26 July 2020,23.16,0.07
27 July 2020,12.54,0.15
28 July 2020,20.86,0.16
29 July 2020,14.79,0.48
30 July 2020,16.49,0.53
31 July 2020,11.28,0.56
